項番,イベントID,開催日時,イベント名,告知サイトURL,開催者,開催グループ,開催地区,概要,備考
1,2012010120,2012/01/01 00:00:00,ゲートボール大会,http://www.example.com/0000,Pat,Aグループ,,概要A,
2,2012010121,2012/01/15 00:00:00,ゲートボールとドミノ大会,http://www.example.com/1111,Pat,Aグループ,地区1,概要B,テスト入力
3,2012010122,2012/01/15 00:00:00,ドミノ大会,http://www.example.com/2222,Pat,Aグループ,,概要C,
4,2012010123,2012/01/15 23:59:59,じゃんけん大会,http://www.example.com/3333,Emi,Bグループ,地区2,要説D,
5,2012010124,2012/01/31 23:59:59,ゲートボール大会,http://www.example.com/0000,Emi,Bグループ,,大要E,
6,2012010125,2012/02/01 00:00:00,ゲートボール大会,http://www.example.com/0000,Andy,Cグループ,,,
7,2012010126,2011/12/31 23:59:59,サッカー大会,http://www.example.com/4444,Pat,,,,
8,2012010127,2011/12/31 23:59:59,Aグループ 総選挙,http://www.example.com/5555,Pat,,,,
9,2012010128,2011/12/31 23:59:59,Aグループ 総選挙,http://www.example.com/5555,Pat,Dグループ,,,
10,2012010129,2011/12/31 23:59:59,Aグループ 総選挙,http://www.example.com/5555,Pat,Null,,,
